GSP Name,From Bus Number,To Bus Number,Tertiary Bus Number,From Bus Name,To Bus Name,Tertiary Bus Name,Circuit ID,Season,Import TL MW,Export TL MW,Import CAFPL MVA,Export CARPL MVA
Taunton,974301,972900,97800,TAUN4_#210,TAUN1_#280,TAUN8A,S2,Summer,-117.0,114.8,,240.0
Taunton,974302,972901,97801,TAUN4_#110,TAUN1_#180,TAUN8B,S1,Winter,-185.1,114.8,,240.0
Taunton,974302,972901,97801,TAUN4_#110,TAUN1_#180,TAUN8B,S1,Intermediate Cool,-129.1,114.8,,240.0
Taunton,974302,972901,97801,TAUN4_#110,TAUN1_#180,TAUN8B,S1,Intermediate Warm,-129.1,114.8,,240.0
Taunton,974302,972901,97801,TAUN4_#110,TAUN1_#180,TAUN8B,S1,Summer,-117.0,114.8,,240.0
Bushbury,209201,12176,209205,BUSH2_H30,BUSH1_SGT3,BUSH81_G3,S3,Winter,-167.3,105.9,,480.0
Bushbury,209201,12176,209205,BUSH2_H30,BUSH1_SGT3,BUSH81_G3,S3,Intermediate Cool,-161.6,105.9,,480.0
Bushbury,209201,12176,209205,BUSH2_H30,BUSH1_SGT3,BUSH81_G3,S3,Intermediate Warm,-161.6,105.9,,480.0
Bushbury,209201,12176,209205,BUSH2_H30,BUSH1_SGT3,BUSH81_G3,S3,Summer,-185.2,105.9,,480.0
Bushbury,209200,13014,209204,BUSH2_H20,BUSH1_SGT2,BUSH81_G2,S2,Winter,-167.3,105.9,,480.0
Bushbury,209200,13014,209204,BUSH2_H20,BUSH1_SGT2,BUSH81_G2,S2,Intermediate Cool,-161.6,105.9,,480.0
Bushbury,209200,13014,209204,BUSH2_H20,BUSH1_SGT2,BUSH81_G2,S2,Intermediate Warm,-161.6,105.9,,480.0
Bushbury,209200,13014,209204,BUSH2_H20,BUSH1_SGT2,BUSH81_G2,S2,Summer,-185.2,105.9,,480.0
Bushbury,209202,13015,209203,BUSH2_H40,BUSH1_SGT4,BUSH81_G4,S4,Winter,-167.3,105.9,,480.0
Bushbury,209202,13015,209203,BUSH2_H40,BUSH1_SGT4,BUSH81_G4,S4,Intermediate Cool,-161.6,105.9,,480.0
Bushbury,209202,13015,209203,BUSH2_H40,BUSH1_SGT4,BUSH81_G4,S4,Intermediate Warm,-161.6,105.9,,480.0
Bushbury,209202,13015,209203,BUSH2_H40,BUSH1_SGT4,BUSH81_G4,S4,Summer,-185.2,105.9,,480.0
Bustleholm,210400,12744,210407,BUST2_H40,BUST1_SGT4,BUST81_G4,S4,Winter,-340.1,-7.7,,480.0
Bustleholm,210400,12744,210407,BUST2_H40,BUST1_SGT4,BUST81_G4,S4,Intermediate Cool,-328.0,-7.7,,480.0
Bustleholm,210400,12744,210407,BUST2_H40,BUST1_SGT4,BUST81_G4,S4,Intermediate Warm,-328.0,-7.7,,480.0
Bustleholm,210400,12744,210407,BUST2_H40,BUST1_SGT4,BUST81_G4,S4,Summer,-285.4,-7.7,,480.0
